"Marco Praça Bandeiras",-16.705909, -49.311044
"Parquinho",-16.594743, -49.257875
"Praça das Artes",-16.704985, -49.2341990
"A Grávida",-16.676340, -49.2423080
"Escultura Figura Regional de Gilvan Cabral",-16.677165, -49.2433450
"Escultura Casca de Gustav Ritter",-16.676837, -49.2445370
"Estátua Carmo Bernades",-16.740008,-49.194917
"Praça C-171 (Square",-16.717704, -49.2740550
"Academia Ao Ar Livre Praça Do Bairro Da Vitória",-16.602234, -49.346501
